credit_card_name,reward_type,speciality,points_accumulation_rate,primary_usage_category,bank_name,annual_charges_in_inr,product_name,product_type,annual_fee,description,tags,combined_text
Canara Premium,fuel_rewards,accelerated_rewards,2.58,luxury,Canara Bank,827,Canara Premium,credit_card,827.0,Canara Premium fuel_rewards accelerated_rewards luxury Canara Bank 2.58 annual fee 827,fuel moderate_fee premium,Canara Premium fuel_rewards accelerated_rewards luxury Canara Bank 2.58 annual fee 827 fuel moderate_fee premium fuel_rewards accelerated_rewards luxury Canara Bank
HDFC MoneyBack,dining_rewards,international_travel,4.02,travel,HDFC Bank,6810,HDFC MoneyBack,credit_card,6810.0,HDFC MoneyBack dining_rewards international_travel travel HDFC Bank 4.02 annual fee 6810,discounts premium_fee travel,HDFC MoneyBack dining_rewards international_travel travel HDFC Bank 4.02 annual fee 6810 discounts premium_fee travel dining_rewards international_travel travel HDFC Bank
SBI BPCL,shopping_rewards,grocery_cashback,3.72,travel,SBI,4491,SBI BPCL,credit_card,4491.0,SBI BPCL shopping_rewards grocery_cashback travel SBI 3.72 annual fee 4491,cashback premium_fee shopping travel,SBI BPCL shopping_rewards grocery_cashback travel SBI 3.72 annual fee 4491 cashback premium_fee shopping travel shopping_rewards grocery_cashback travel SBI
RBL Tiara,cashback,insurance_coverage,1.82,shopping,RBL Bank,2343,RBL Tiara,credit_card,2343.0,RBL Tiara cashback insurance_coverage shopping RBL Bank 1.82 annual fee 2343,cashback premium_fee shopping,RBL Tiara cashback insurance_coverage shopping RBL Bank 1.82 annual fee 2343 cashback premium_fee shopping cashback insurance_coverage shopping RBL Bank
IDFC FIRST Digital 1,premium_points,airport_lounge_access,2.35,dining,IDFC First Bank,8876,IDFC FIRST Digital 1,credit_card,8876.0,IDFC FIRST Digital 1 premium_points airport_lounge_access dining IDFC First Bank 2.35 annual fee 8876,discounts points premium premium_fee,IDFC FIRST Digital 1 premium_points airport_lounge_access dining IDFC First Bank 2.35 annual fee 8876 discounts points premium premium_fee premium_points airport_lounge_access dining IDFC First Bank
Canara Travel,premium_points,fuel_surcharge_waiver,3.17,luxury,Canara Bank,6925,Canara Travel,credit_card,6925.0,Canara Travel premium_points fuel_surcharge_waiver luxury Canara Bank 3.17 annual fee 6925,fuel points premium premium_fee travel,Canara Travel premium_points fuel_surcharge_waiver luxury Canara Bank 3.17 annual fee 6925 fuel points premium premium_fee travel premium_points fuel_surcharge_waiver luxury Canara Bank
Axis Insta Business 2,premium_points,movie_discounts,2.21,online_spends,Axis Bank,6642,Axis Insta Business 2,credit_card,6642.0,Axis Insta Business 2 premium_points movie_discounts online_spends Axis Bank 2.21 annual fee 6642,business discounts points premium premium_fee shopping,Axis Insta Business 2 premium_points movie_discounts online_spends Axis Bank 2.21 annual fee 6642 business discounts points premium premium_fee shopping premium_points movie_discounts online_spends Axis Bank
SBI Cashback 3,premium_points,concierge_service,2.04,travel,SBI,2598,SBI Cashback 3,credit_card,2598.0,SBI Cashback 3 premium_points concierge_service travel SBI 2.04 annual fee 2598,cashback points premium premium_fee travel,SBI Cashback 3 premium_points concierge_service travel SBI 2.04 annual fee 2598 cashback points premium premium_fee travel premium_points concierge_service travel SBI
Airtel Gold 3,premium_points,insurance_coverage,4.67,shopping,Airtel Payments Bank,3346,Airtel Gold 3,credit_card,3346.0,Airtel Gold 3 premium_points insurance_coverage shopping Airtel Payments Bank 4.67 annual fee 3346,points premium premium_fee shopping,Airtel Gold 3 premium_points insurance_coverage shopping Airtel Payments Bank 4.67 annual fee 3346 points premium premium_fee shopping premium_points insurance_coverage shopping Airtel Payments Bank
BOB Gold 1,cashback,golf_membership,1.12,fuel,Bank of Baroda,1639,BOB Gold 1,credit_card,1639.0,BOB Gold 1 cashback golf_membership fuel Bank of Baroda 1.12 annual fee 1639,cashback fuel premium premium_fee,BOB Gold 1 cashback golf_membership fuel Bank of Baroda 1.12 annual fee 1639 cashback fuel premium premium_fee cashback golf_membership fuel Bank of Baroda
Federal Signature 1,travel_points,online_cashback,3.14,dining,Federal Bank,4033,Federal Signature 1,credit_card,4033.0,Federal Signature 1 travel_points online_cashback dining Federal Bank 3.14 annual fee 4033,cashback discounts points premium premium_fee shopping travel,Federal Signature 1 travel_points online_cashback dining Federal Bank 3.14 annual fee 4033 cashback discounts points premium premium_fee shopping travel travel_points online_cashback dining Federal Bank
HDFC Millennia 2,travel_points,dining_discounts,3.23,travel,HDFC Bank,6459,HDFC Millennia 2,credit_card,6459.0,HDFC Millennia 2 travel_points dining_discounts travel HDFC Bank 3.23 annual fee 6459,discounts points premium_fee travel,HDFC Millennia 2 travel_points dining_discounts travel HDFC Bank 3.23 annual fee 6459 discounts points premium_fee travel travel_points dining_discounts travel HDFC Bank
Canara Privilege 3,shopping_rewards,milestone_rewards,2.02,online_spends,Canara Bank,4552,Canara Privilege 3,credit_card,4552.0,Canara Privilege 3 shopping_rewards milestone_rewards online_spends Canara Bank 2.02 annual fee 4552,premium_fee shopping travel,Canara Privilege 3 shopping_rewards milestone_rewards online_spends Canara Bank 2.02 annual fee 4552 premium_fee shopping travel shopping_rewards milestone_rewards online_spends Canara Bank
HDFC BusinessFirst 1,dining_rewards,grocery_cashback,4.32,online_spends,HDFC Bank,2070,HDFC BusinessFirst 1,credit_card,2070.0,HDFC BusinessFirst 1 dining_rewards grocery_cashback online_spends HDFC Bank 4.32 annual fee 2070,business cashback discounts premium_fee shopping,HDFC BusinessFirst 1 dining_rewards grocery_cashback online_spends HDFC Bank 4.32 annual fee 2070 business cashback discounts premium_fee shopping dining_rewards grocery_cashback online_spends HDFC Bank
HDFC Regalia 3,travel_points,dining_discounts,3.19,luxury,HDFC Bank,4145,HDFC Regalia 3,credit_card,4145.0,HDFC Regalia 3 travel_points dining_discounts luxury HDFC Bank 3.19 annual fee 4145,discounts points premium_fee travel,HDFC Regalia 3 travel_points dining_discounts luxury HDFC Bank 3.19 annual fee 4145 discounts points premium_fee travel travel_points dining_discounts luxury HDFC Bank
HDFC TimesPoints 1,cashback,business_expenses,0.96,dining,HDFC Bank,747,HDFC TimesPoints 1,credit_card,747.0,HDFC TimesPoints 1 cashback business_expenses dining HDFC Bank 0.96 annual fee 747,business cashback discounts moderate_fee points,HDFC TimesPoints 1 cashback business_expenses dining HDFC Bank 0.96 annual fee 747 business cashback discounts moderate_fee points cashback business_expenses dining HDFC Bank
IndusInd Merchant,dining_rewards,online_cashback,2.83,dining,IndusInd Bank,4985,IndusInd Merchant,credit_card,4985.0,IndusInd Merchant dining_rewards online_cashback dining IndusInd Bank 2.83 annual fee 4985,cashback discounts premium_fee shopping,IndusInd Merchant dining_rewards online_cashback dining IndusInd Bank 2.83 annual fee 4985 cashback discounts premium_fee shopping dining_rewards online_cashback dining IndusInd Bank
Axis Privilege,premium_points,online_cashback,5.66,groceries,Axis Bank,8364,Axis Privilege,credit_card,8364.0,Axis Privilege premium_points online_cashback groceries Axis Bank 5.66 annual fee 8364,cashback points premium premium_fee shopping,Axis Privilege premium_points online_cashback groceries Axis Bank 5.66 annual fee 8364 cashback points premium premium_fee shopping premium_points online_cashback groceries Axis Bank
IDFC FIRST Select,travel_points,airport_lounge_access,4.79,online_spends,IDFC First Bank,4253,IDFC FIRST Select,credit_card,4253.0,IDFC FIRST Select travel_points airport_lounge_access online_spends IDFC First Bank 4.79 annual fee 4253,points premium premium_fee shopping travel,IDFC FIRST Select travel_points airport_lounge_access online_spends IDFC First Bank 4.79 annual fee 4253 points premium premium_fee shopping travel travel_points airport_lounge_access online_spends IDFC First Bank
Airtel Premium 2,fuel_rewards,fuel_surcharge_waiver,2.13,business,Airtel Payments Bank,509,Airtel Premium 2,credit_card,509.0,Airtel Premium 2 fuel_rewards fuel_surcharge_waiver business Airtel Payments Bank 2.13 annual fee 509,business fuel moderate_fee premium,Airtel Premium 2 fuel_rewards fuel_surcharge_waiver business Airtel Payments Bank 2.13 annual fee 509 business fuel moderate_fee premium fuel_rewards fuel_surcharge_waiver business Airtel Payments Bank
HDFC EZY Dining,fuel_rewards,movie_discounts,2.96,business,HDFC Bank,2028,HDFC EZY Dining,credit_card,2028.0,HDFC EZY Dining fuel_rewards movie_discounts business HDFC Bank 2.96 annual fee 2028,business discounts fuel premium_fee,HDFC EZY Dining fuel_rewards movie_discounts business HDFC Bank 2.96 annual fee 2028 business discounts fuel premium_fee fuel_rewards movie_discounts business HDFC Bank
Federal Travel 1,dining_rewards,movie_discounts,2.91,online_spends,Federal Bank,3530,Federal Travel 1,credit_card,3530.0,Federal Travel 1 dining_rewards movie_discounts online_spends Federal Bank 2.91 annual fee 3530,discounts premium_fee shopping travel,Federal Travel 1 dining_rewards movie_discounts online_spends Federal Bank 2.91 annual fee 3530 discounts premium_fee shopping travel dining_rewards movie_discounts online_spends Federal Bank
Federal Exclusive,premium_points,airport_lounge_access,2.4,luxury,Federal Bank,4139,Federal Exclusive,credit_card,4139.0,Federal Exclusive premium_points airport_lounge_access luxury Federal Bank 2.4 annual fee 4139,points premium premium_fee,Federal Exclusive premium_points airport_lounge_access luxury Federal Bank 2.4 annual fee 4139 points premium premium_fee premium_points airport_lounge_access luxury Federal Bank
BOB Elite,cashback,priority_checkout,0.9,groceries,Bank of Baroda,1762,BOB Elite,credit_card,1762.0,BOB Elite cashback priority_checkout groceries Bank of Baroda 0.9 annual fee 1762,cashback premium_fee,BOB Elite cashback priority_checkout groceries Bank of Baroda 0.9 annual fee 1762 cashback premium_fee cashback priority_checkout groceries Bank of Baroda
SBI SimplyClick 1,cashback,airport_lounge_access,1.27,shopping,SBI,9540,SBI SimplyClick 1,credit_card,9540.0,SBI SimplyClick 1 cashback airport_lounge_access shopping SBI 1.27 annual fee 9540,cashback premium premium_fee shopping,SBI SimplyClick 1 cashback airport_lounge_access shopping SBI 1.27 annual fee 9540 cashback premium premium_fee shopping cashback airport_lounge_access shopping SBI
Federal Timeline,fuel_rewards,accelerated_rewards,3.13,fuel,Federal Bank,5471,Federal Timeline,credit_card,5471.0,Federal Timeline fuel_rewards accelerated_rewards fuel Federal Bank 3.13 annual fee 5471,fuel premium_fee,Federal Timeline fuel_rewards accelerated_rewards fuel Federal Bank 3.13 annual fee 5471 fuel premium_fee fuel_rewards accelerated_rewards fuel Federal Bank
RBL SuperCard,dining_rewards,insurance_coverage,2.51,fuel,RBL Bank,3458,RBL SuperCard,credit_card,3458.0,RBL SuperCard dining_rewards insurance_coverage fuel RBL Bank 2.51 annual fee 3458,discounts fuel premium_fee,RBL SuperCard dining_rewards insurance_coverage fuel RBL Bank 2.51 annual fee 3458 discounts fuel premium_fee dining_rewards insurance_coverage fuel RBL Bank
Yes MARC 2,premium_points,golf_membership,3.97,shopping,Yes Bank,3743,Yes MARC 2,credit_card,3743.0,Yes MARC 2 premium_points golf_membership shopping Yes Bank 3.97 annual fee 3743,points premium premium_fee shopping,Yes MARC 2 premium_points golf_membership shopping Yes Bank 3.97 annual fee 3743 points premium premium_fee shopping premium_points golf_membership shopping Yes Bank
IndusInd Legend,premium_points,welcome_bonus,3.82,dining,IndusInd Bank,7627,IndusInd Legend,credit_card,7627.0,IndusInd Legend premium_points welcome_bonus dining IndusInd Bank 3.82 annual fee 7627,discounts points premium premium_fee,IndusInd Legend premium_points welcome_bonus dining IndusInd Bank 3.82 annual fee 7627 discounts points premium premium_fee premium_points welcome_bonus dining IndusInd Bank
HDFC BusinessFirst,shopping_rewards,fuel_surcharge_waiver,3.85,business,HDFC Bank,5551,HDFC BusinessFirst,credit_card,5551.0,HDFC BusinessFirst shopping_rewards fuel_surcharge_waiver business HDFC Bank 3.85 annual fee 5551,business fuel premium_fee shopping,HDFC BusinessFirst shopping_rewards fuel_surcharge_waiver business HDFC Bank 3.85 annual fee 5551 business fuel premium_fee shopping shopping_rewards fuel_surcharge_waiver business HDFC Bank
Axis Ace 2,travel_points,international_travel,3.05,online_spends,Axis Bank,3338,Axis Ace 2,credit_card,3338.0,Axis Ace 2 travel_points international_travel online_spends Axis Bank 3.05 annual fee 3338,points premium_fee shopping travel,Axis Ace 2 travel_points international_travel online_spends Axis Bank 3.05 annual fee 3338 points premium_fee shopping travel travel_points international_travel online_spends Axis Bank
IDFC FIRST Travel 1,fuel_rewards,fuel_surcharge_waiver,4.05,groceries,IDFC First Bank,5277,IDFC FIRST Travel 1,credit_card,5277.0,IDFC FIRST Travel 1 fuel_rewards fuel_surcharge_waiver groceries IDFC First Bank 4.05 annual fee 5277,fuel premium_fee travel,IDFC FIRST Travel 1 fuel_rewards fuel_surcharge_waiver groceries IDFC First Bank 4.05 annual fee 5277 fuel premium_fee travel fuel_rewards fuel_surcharge_waiver groceries IDFC First Bank
RBL Silver 1,premium_points,golf_membership,2.19,business,RBL Bank,6350,RBL Silver 1,credit_card,6350.0,RBL Silver 1 premium_points golf_membership business RBL Bank 2.19 annual fee 6350,business points premium premium_fee,RBL Silver 1 premium_points golf_membership business RBL Bank 2.19 annual fee 6350 business points premium premium_fee premium_points golf_membership business RBL Bank
Airtel Elite 1,cashback,online_cashback,0.62,luxury,Airtel Payments Bank,1063,Airtel Elite 1,credit_card,1063.0,Airtel Elite 1 cashback online_cashback luxury Airtel Payments Bank 0.62 annual fee 1063,cashback premium_fee shopping,Airtel Elite 1 cashback online_cashback luxury Airtel Payments Bank 0.62 annual fee 1063 cashback premium_fee shopping cashback online_cashback luxury Airtel Payments Bank
Union Elite 1,shopping_rewards,grocery_cashback,3.07,groceries,Union Bank of India,1762,Union Elite 1,credit_card,1762.0,Union Elite 1 shopping_rewards grocery_cashback groceries Union Bank of India 3.07 annual fee 1762,cashback premium_fee shopping,Union Elite 1 shopping_rewards grocery_cashback groceries Union Bank of India 3.07 annual fee 1762 cashback premium_fee shopping shopping_rewards grocery_cashback groceries Union Bank of India
HDFC Smartbuy 5,fuel_rewards,accelerated_rewards,3.98,dining,HDFC Bank,4061,HDFC Smartbuy 5,credit_card,4061.0,HDFC Smartbuy 5 fuel_rewards accelerated_rewards dining HDFC Bank 3.98 annual fee 4061,discounts fuel premium_fee,HDFC Smartbuy 5 fuel_rewards accelerated_rewards dining HDFC Bank 3.98 annual fee 4061 discounts fuel premium_fee fuel_rewards accelerated_rewards dining HDFC Bank
Yes Preferred 1,travel_points,grocery_cashback,4.48,dining,Yes Bank,1394,Yes Preferred 1,credit_card,1394.0,Yes Preferred 1 travel_points grocery_cashback dining Yes Bank 4.48 annual fee 1394,cashback discounts points premium_fee travel,Yes Preferred 1 travel_points grocery_cashback dining Yes Bank 4.48 annual fee 1394 cashback discounts points premium_fee travel travel_points grocery_cashback dining Yes Bank
ICICI MakeMyTrip 2,shopping_rewards,concierge_service,2.39,travel,ICICI Bank,6004,ICICI MakeMyTrip 2,credit_card,6004.0,ICICI MakeMyTrip 2 shopping_rewards concierge_service travel ICICI Bank 2.39 annual fee 6004,premium_fee shopping travel,ICICI MakeMyTrip 2 shopping_rewards concierge_service travel ICICI Bank 2.39 annual fee 6004 premium_fee shopping travel shopping_rewards concierge_service travel ICICI Bank
Union Privilege 1,travel_points,priority_checkout,3.18,luxury,Union Bank of India,4935,Union Privilege 1,credit_card,4935.0,Union Privilege 1 travel_points priority_checkout luxury Union Bank of India 3.18 annual fee 4935,points premium_fee travel,Union Privilege 1 travel_points priority_checkout luxury Union Bank of India 3.18 annual fee 4935 points premium_fee travel travel_points priority_checkout luxury Union Bank of India
Canara Gold,fuel_rewards,airport_lounge_access,4.24,shopping,Canara Bank,5686,Canara Gold,credit_card,5686.0,Canara Gold fuel_rewards airport_lounge_access shopping Canara Bank 4.24 annual fee 5686,fuel premium premium_fee shopping,Canara Gold fuel_rewards airport_lounge_access shopping Canara Bank 4.24 annual fee 5686 fuel premium premium_fee shopping fuel_rewards airport_lounge_access shopping Canara Bank
RBL Business Ultra,cashback,online_cashback,0.81,fuel,RBL Bank,2560,RBL Business Ultra,credit_card,2560.0,RBL Business Ultra cashback online_cashback fuel RBL Bank 0.81 annual fee 2560,business cashback fuel premium_fee shopping,RBL Business Ultra cashback online_cashback fuel RBL Bank 0.81 annual fee 2560 business cashback fuel premium_fee shopping cashback online_cashback fuel RBL Bank
Axis Vistara,premium_points,priority_checkout,3.43,fuel,Axis Bank,5037,Axis Vistara,credit_card,5037.0,Axis Vistara premium_points priority_checkout fuel Axis Bank 3.43 annual fee 5037,fuel points premium premium_fee,Axis Vistara premium_points priority_checkout fuel Axis Bank 3.43 annual fee 5037 fuel points premium premium_fee premium_points priority_checkout fuel Axis Bank
Kotak White,travel_points,movie_discounts,4.9,shopping,Kotak Mahindra,5751,Kotak White,credit_card,5751.0,Kotak White travel_points movie_discounts shopping Kotak Mahindra 4.9 annual fee 5751,discounts points premium_fee shopping travel,Kotak White travel_points movie_discounts shopping Kotak Mahindra 4.9 annual fee 5751 discounts points premium_fee shopping travel travel_points movie_discounts shopping Kotak Mahindra
IDFC FIRST Elite,premium_points,welcome_bonus,2.94,luxury,IDFC First Bank,4625,IDFC FIRST Elite,credit_card,4625.0,IDFC FIRST Elite premium_points welcome_bonus luxury IDFC First Bank 2.94 annual fee 4625,points premium premium_fee,IDFC FIRST Elite premium_points welcome_bonus luxury IDFC First Bank 2.94 annual fee 4625 points premium premium_fee premium_points welcome_bonus luxury IDFC First Bank
ICICI Air 2,fuel_rewards,airport_lounge_access,2.92,luxury,ICICI Bank,6889,ICICI Air 2,credit_card,6889.0,ICICI Air 2 fuel_rewards airport_lounge_access luxury ICICI Bank 2.92 annual fee 6889,fuel premium premium_fee,ICICI Air 2 fuel_rewards airport_lounge_access luxury ICICI Bank 2.92 annual fee 6889 fuel premium premium_fee fuel_rewards airport_lounge_access luxury ICICI Bank
Axis Urban Plus,cashback,fuel_surcharge_waiver,0.98,travel,Axis Bank,1758,Axis Urban Plus,credit_card,1758.0,Axis Urban Plus cashback fuel_surcharge_waiver travel Axis Bank 0.98 annual fee 1758,cashback fuel premium_fee travel,Axis Urban Plus cashback fuel_surcharge_waiver travel Axis Bank 0.98 annual fee 1758 cashback fuel premium_fee travel cashback fuel_surcharge_waiver travel Axis Bank
Yes Elite 2,shopping_rewards,milestone_rewards,3.22,groceries,Yes Bank,3824,Yes Elite 2,credit_card,3824.0,Yes Elite 2 shopping_rewards milestone_rewards groceries Yes Bank 3.22 annual fee 3824,premium_fee shopping travel,Yes Elite 2 shopping_rewards milestone_rewards groceries Yes Bank 3.22 annual fee 3824 premium_fee shopping travel shopping_rewards milestone_rewards groceries Yes Bank
Airtel Gold 4,dining_rewards,priority_checkout,3.77,groceries,Airtel Payments Bank,7488,Airtel Gold 4,credit_card,7488.0,Airtel Gold 4 dining_rewards priority_checkout groceries Airtel Payments Bank 3.77 annual fee 7488,discounts premium premium_fee,Airtel Gold 4 dining_rewards priority_checkout groceries Airtel Payments Bank 3.77 annual fee 7488 discounts premium premium_fee dining_rewards priority_checkout groceries Airtel Payments Bank
Union Gold 1,premium_points,concierge_service,4.4,dining,Union Bank of India,8869,Union Gold 1,credit_card,8869.0,Union Gold 1 premium_points concierge_service dining Union Bank of India 4.4 annual fee 8869,discounts points premium premium_fee,Union Gold 1 premium_points concierge_service dining Union Bank of India 4.4 annual fee 8869 discounts points premium premium_fee premium_points concierge_service dining Union Bank of India
BOB Business 1,shopping_rewards,business_expenses,3.92,shopping,Bank of Baroda,7167,BOB Business 1,credit_card,7167.0,BOB Business 1 shopping_rewards business_expenses shopping Bank of Baroda 3.92 annual fee 7167,business premium_fee shopping,BOB Business 1 shopping_rewards business_expenses shopping Bank of Baroda 3.92 annual fee 7167 business premium_fee shopping shopping_rewards business_expenses shopping Bank of Baroda
IDFC FIRST Select 1,cashback,online_cashback,0.63,dining,IDFC First Bank,1715,IDFC FIRST Select 1,credit_card,1715.0,IDFC FIRST Select 1 cashback online_cashback dining IDFC First Bank 0.63 annual fee 1715,cashback discounts premium_fee shopping,IDFC FIRST Select 1 cashback online_cashback dining IDFC First Bank 0.63 annual fee 1715 cashback discounts premium_fee shopping cashback online_cashback dining IDFC First Bank
Federal Business 2,cashback,business_expenses,1.8,shopping,Federal Bank,474,Federal Business 2,credit_card,474.0,Federal Business 2 cashback business_expenses shopping Federal Bank 1.8 annual fee 474,business cashback moderate_fee shopping,Federal Business 2 cashback business_expenses shopping Federal Bank 1.8 annual fee 474 business cashback moderate_fee shopping cashback business_expenses shopping Federal Bank
RBL Gold,cashback,airport_lounge_access,0.85,luxury,RBL Bank,7098,RBL Gold,credit_card,7098.0,RBL Gold cashback airport_lounge_access luxury RBL Bank 0.85 annual fee 7098,cashback premium premium_fee,RBL Gold cashback airport_lounge_access luxury RBL Bank 0.85 annual fee 7098 cashback premium premium_fee cashback airport_lounge_access luxury RBL Bank
Yes Smart,cashback,accelerated_rewards,0.98,fuel,Yes Bank,2224,Yes Smart,credit_card,2224.0,Yes Smart cashback accelerated_rewards fuel Yes Bank 0.98 annual fee 2224,cashback fuel premium_fee,Yes Smart cashback accelerated_rewards fuel Yes Bank 0.98 annual fee 2224 cashback fuel premium_fee cashback accelerated_rewards fuel Yes Bank
Union Elite 3,dining_rewards,welcome_bonus,3.15,online_spends,Union Bank of India,1306,Union Elite 3,credit_card,1306.0,Union Elite 3 dining_rewards welcome_bonus online_spends Union Bank of India 3.15 annual fee 1306,discounts premium_fee shopping,Union Elite 3 dining_rewards welcome_bonus online_spends Union Bank of India 3.15 annual fee 1306 discounts premium_fee shopping dining_rewards welcome_bonus online_spends Union Bank of India
Yes MARC 1,dining_rewards,movie_discounts,3.43,travel,Yes Bank,1010,Yes MARC 1,credit_card,1010.0,Yes MARC 1 dining_rewards movie_discounts travel Yes Bank 3.43 annual fee 1010,discounts premium_fee travel,Yes MARC 1 dining_rewards movie_discounts travel Yes Bank 3.43 annual fee 1010 discounts premium_fee travel dining_rewards movie_discounts travel Yes Bank
BOB Elite 3,fuel_rewards,dining_discounts,2.85,luxury,Bank of Baroda,4959,BOB Elite 3,credit_card,4959.0,BOB Elite 3 fuel_rewards dining_discounts luxury Bank of Baroda 2.85 annual fee 4959,discounts fuel premium_fee,BOB Elite 3 fuel_rewards dining_discounts luxury Bank of Baroda 2.85 annual fee 4959 discounts fuel premium_fee fuel_rewards dining_discounts luxury Bank of Baroda
Axis Ace 1,premium_points,accelerated_rewards,3.21,groceries,Axis Bank,5160,Axis Ace 1,credit_card,5160.0,Axis Ace 1 premium_points accelerated_rewards groceries Axis Bank 3.21 annual fee 5160,points premium premium_fee,Axis Ace 1 premium_points accelerated_rewards groceries Axis Bank 3.21 annual fee 5160 points premium premium_fee premium_points accelerated_rewards groceries Axis Bank
Airtel Premium 1,travel_points,welcome_bonus,3.56,dining,Airtel Payments Bank,6969,Airtel Premium 1,credit_card,6969.0,Airtel Premium 1 travel_points welcome_bonus dining Airtel Payments Bank 3.56 annual fee 6969,discounts points premium premium_fee travel,Airtel Premium 1 travel_points welcome_bonus dining Airtel Payments Bank 3.56 annual fee 6969 discounts points premium premium_fee travel travel_points welcome_bonus dining Airtel Payments Bank
ICICI Pockets,fuel_rewards,movie_discounts,3.07,dining,ICICI Bank,6364,ICICI Pockets,credit_card,6364.0,ICICI Pockets fuel_rewards movie_discounts dining ICICI Bank 3.07 annual fee 6364,discounts fuel premium_fee,ICICI Pockets fuel_rewards movie_discounts dining ICICI Bank 3.07 annual fee 6364 discounts fuel premium_fee fuel_rewards movie_discounts dining ICICI Bank
BOB Cashback,travel_points,grocery_cashback,3.79,online_spends,Bank of Baroda,5001,BOB Cashback,credit_card,5001.0,BOB Cashback travel_points grocery_cashback online_spends Bank of Baroda 3.79 annual fee 5001,cashback points premium_fee shopping travel,BOB Cashback travel_points grocery_cashback online_spends Bank of Baroda 3.79 annual fee 5001 cashback points premium_fee shopping travel travel_points grocery_cashback online_spends Bank of Baroda
ICICI Merchant 1,dining_rewards,golf_membership,3.85,groceries,ICICI Bank,7168,ICICI Merchant 1,credit_card,7168.0,ICICI Merchant 1 dining_rewards golf_membership groceries ICICI Bank 3.85 annual fee 7168,discounts premium_fee,ICICI Merchant 1 dining_rewards golf_membership groceries ICICI Bank 3.85 annual fee 7168 discounts premium_fee dining_rewards golf_membership groceries ICICI Bank
Union Elite 4,fuel_rewards,milestone_rewards,3.28,fuel,Union Bank of India,4821,Union Elite 4,credit_card,4821.0,Union Elite 4 fuel_rewards milestone_rewards fuel Union Bank of India 3.28 annual fee 4821,fuel premium_fee travel,Union Elite 4 fuel_rewards milestone_rewards fuel Union Bank of India 3.28 annual fee 4821 fuel premium_fee travel fuel_rewards milestone_rewards fuel Union Bank of India
IndusInd Select Business 2,fuel_rewards,movie_discounts,4.26,travel,IndusInd Bank,4761,IndusInd Select Business 2,credit_card,4761.0,IndusInd Select Business 2 fuel_rewards movie_discounts travel IndusInd Bank 4.26 annual fee 4761,business discounts fuel premium_fee travel,IndusInd Select Business 2 fuel_rewards movie_discounts travel IndusInd Bank 4.26 annual fee 4761 business discounts fuel premium_fee travel fuel_rewards movie_discounts travel IndusInd Bank
Yes MARC,travel_points,golf_membership,3.29,dining,Yes Bank,6041,Yes MARC,credit_card,6041.0,Yes MARC travel_points golf_membership dining Yes Bank 3.29 annual fee 6041,discounts points premium_fee travel,Yes MARC travel_points golf_membership dining Yes Bank 3.29 annual fee 6041 discounts points premium_fee travel travel_points golf_membership dining Yes Bank
Airtel Platinum 3,travel_points,golf_membership,4.98,business,Airtel Payments Bank,6213,Airtel Platinum 3,credit_card,6213.0,Airtel Platinum 3 travel_points golf_membership business Airtel Payments Bank 4.98 annual fee 6213,business points premium premium_fee travel,Airtel Platinum 3 travel_points golf_membership business Airtel Payments Bank 4.98 annual fee 6213 business points premium premium_fee travel travel_points golf_membership business Airtel Payments Bank
Federal Rewards 1,premium_points,fuel_surcharge_waiver,2.88,dining,Federal Bank,5620,Federal Rewards 1,credit_card,5620.0,Federal Rewards 1 premium_points fuel_surcharge_waiver dining Federal Bank 2.88 annual fee 5620,discounts fuel points premium premium_fee,Federal Rewards 1 premium_points fuel_surcharge_waiver dining Federal Bank 2.88 annual fee 5620 discounts fuel points premium premium_fee premium_points fuel_surcharge_waiver dining Federal Bank
IDFC FIRST Elite 1,cashback,welcome_bonus,1.61,shopping,IDFC First Bank,1062,IDFC FIRST Elite 1,credit_card,1062.0,IDFC FIRST Elite 1 cashback welcome_bonus shopping IDFC First Bank 1.61 annual fee 1062,cashback premium_fee shopping,IDFC FIRST Elite 1 cashback welcome_bonus shopping IDFC First Bank 1.61 annual fee 1062 cashback premium_fee shopping cashback welcome_bonus shopping IDFC First Bank
Federal Prestige,cashback,dining_discounts,1.8,fuel,Federal Bank,935,Federal Prestige,credit_card,935.0,Federal Prestige cashback dining_discounts fuel Federal Bank 1.8 annual fee 935,cashback discounts fuel moderate_fee,Federal Prestige cashback dining_discounts fuel Federal Bank 1.8 annual fee 935 cashback discounts fuel moderate_fee cashback dining_discounts fuel Federal Bank
HDFC Smartbuy,cashback,priority_checkout,1.29,shopping,HDFC Bank,2047,HDFC Smartbuy,credit_card,2047.0,HDFC Smartbuy cashback priority_checkout shopping HDFC Bank 1.29 annual fee 2047,cashback premium_fee shopping,HDFC Smartbuy cashback priority_checkout shopping HDFC Bank 1.29 annual fee 2047 cashback premium_fee shopping cashback priority_checkout shopping HDFC Bank
Yes Bank Prosperity 1,cashback,priority_checkout,1.54,travel,Yes Bank,1396,Yes Bank Prosperity 1,credit_card,1396.0,Yes Bank Prosperity 1 cashback priority_checkout travel Yes Bank 1.54 annual fee 1396,cashback premium_fee travel,Yes Bank Prosperity 1 cashback priority_checkout travel Yes Bank 1.54 annual fee 1396 cashback premium_fee travel cashback priority_checkout travel Yes Bank
